variante,tamanho_chunk,N,K,numero_threads,tempo
2,4,100000,24,4,0.562227
2,4,100000,24,4,0.547478
2,4,100000,24,4,0.548972
2,4,100000,24,4,0.546856
2,4,100000,24,4,0.548144
2,4,100000,24,8,0.546743
2,4,100000,24,8,0.547422
2,4,100000,24,8,0.546686
2,4,100000,24,8,0.547979
2,4,100000,24,8,0.550712
2,4,100000,24,16,0.548736
2,4,100000,24,16,0.548764
2,4,100000,24,16,0.547894
2,4,100000,24,16,0.551614
2,4,100000,24,16,0.546834
2,4,100000,28,1,5.550716
2,4,100000,28,1,5.657338
2,4,100000,28,1,5.336855
2,4,100000,28,1,5.337168
2,4,100000,28,1,5.347374
2,4,100000,28,2,3.119116
2,4,100000,28,2,3.360265
2,4,100000,28,2,3.349635
2,4,100000,28,2,3.355975
2,4,100000,28,2,3.357024
2,4,100000,28,4,3.300095
2,4,100000,28,4,3.304294
2,4,100000,28,4,3.363101
2,4,100000,28,4,3.299613
2,4,100000,28,4,3.310576
2,4,100000,28,8,3.320487
2,4,100000,28,8,3.303897
2,4,100000,28,8,3.313133
2,4,100000,28,8,3.318325
2,4,100000,28,8,3.306506
2,4,100000,28,16,3.311541
2,4,100000,28,16,3.323403
2,4,100000,28,16,3.305798
2,4,100000,28,16,3.315536
2,4,100000,28,16,3.321896
2,4,500000,20,1,0.868194
2,4,500000,20,1,0.735570
2,4,500000,20,1,0.735604
2,4,500000,20,1,0.736443
2,4,500000,20,1,0.735652
2,4,500000,20,2,0.401407
2,4,500000,20,2,0.396943
2,4,500000,20,2,0.399008
2,4,500000,20,2,0.436315
2,4,500000,20,2,0.471139
2,4,500000,20,4,0.455157
2,4,500000,20,4,0.456133
2,4,500000,20,4,0.454444
2,4,500000,20,4,0.455968
2,4,500000,20,4,0.454869
2,4,500000,20,8,0.454338
2,4,500000,20,8,0.469455
2,4,500000,20,8,0.454398
2,4,500000,20,8,0.455841
2,4,500000,20,8,0.454184
2,4,500000,20,16,0.455798
2,4,500000,20,16,0.454698
2,4,500000,20,16,0.457141
2,4,500000,20,16,0.454968
2,4,500000,20,16,0.454716
2,4,500000,24,1,4.728147
2,4,500000,24,1,4.415054
2,4,500000,24,1,4.743002
2,4,500000,24,1,4.707011
2,4,500000,24,1,4.808454
2,4,500000,24,2,2.515083
2,4,500000,24,2,2.754370
2,4,500000,24,2,2.491646
2,4,500000,24,2,2.770912
2,4,500000,24,2,2.539478
2,4,500000,24,4,2.693836
2,4,500000,24,4,2.731701
2,4,500000,24,4,2.731539
2,4,500000,24,4,2.743855
2,4,500000,24,4,2.728471
2,4,500000,24,8,2.735178
2,4,500000,24,8,2.731814
2,4,500000,24,8,2.747611
2,4,500000,24,8,2.736430
2,4,500000,24,8,2.730958
2,4,500000,24,16,2.755844
2,4,500000,24,16,2.733076
2,4,500000,24,16,2.738950
2,4,500000,24,16,2.735596
2,4,500000,24,16,2.748800
2,4,500000,28,1,26.766349
2,4,500000,28,1,26.676326
2,4,500000,28,1,26.800077
2,4,500000,28,1,26.890685
2,4,500000,28,1,26.706111
2,4,500000,28,2,16.291523
2,4,500000,28,2,16.426434
2,4,500000,28,2,16.479078
2,4,500000,28,2,16.726478
2,4,500000,28,2,16.173322
2,4,500000,28,4,16.533585
2,4,500000,28,4,16.530859
2,4,500000,28,4,16.519030
2,4,500000,28,4,16.520268
2,4,500000,28,4,16.555441
2,4,500000,28,8,16.545660
2,4,500000,28,8,16.557413
2,4,500000,28,8,16.603377
2,4,500000,28,8,16.561448
2,4,500000,28,8,16.574945
2,4,500000,28,16,16.553702
2,4,500000,28,16,16.569986
2,4,500000,28,16,16.579410
